,2020,,,,,,,,,,,,
窃盗犯総数,埼玉県,2839,5657,8610,10975,13281,15891,18419,20965,23432,26057,28463,
窃盗犯総数,千葉県,2225,4478,6810,8591,10315,12333,14367,16462,18436,20807,23037,
窃盗犯総数,神奈川県,2162,4150,6724,8611,10413,12698,14666,16778,18893,21166,23463,
窃盗犯総数,新潟県,474,884,1375,1791,2269,2773,3212,3716,4196,4780,5242,
窃盗犯総数,山梨県,181,358,649,810,963,1132,1299,1484,1656,1816,2065,
窃盗犯総数,長野県,343,812,1249,1716,2112,2500,2881,3336,3700,4218,4597,
窃盗犯総数,静岡県,891,1693,2621,3449,4181,5059,5865,6693,7524,8306,9173,
窃盗犯総数,富山県,193,378,593,778,946,1465,1679,1900,2194,2414,2650,
窃盗犯総数,石川県,245,429,705,889,1036,1241,1437,1690,1945,2203,2449,
窃盗犯総数,福井県,160,321,519,631,743,870,1011,1140,1325,1468,1634,
窃盗犯総数,岐阜県,658,1228,1977,2486,2949,3496,4030,4559,5146,5671,6265,
窃盗犯総数,愛知県,2725,5108,7431,9543,11366,13409,15360,17403,19559,21729,24022,
窃盗犯総数,三重県,542,1206,1775,2255,2689,3090,3564,4074,4587,5148,5620,
窃盗犯総数,滋賀県,367,711,1117,1463,1785,2092,2416,2781,3145,3505,3850,
窃盗犯総数,京都府,753,1465,2270,2959,3583,4325,4964,5657,6337,7043,7658,
窃盗犯総数,大阪府,5136,8724,13895,17491,20725,24669,28522,32617,36804,41220,45566,
窃盗犯総数,兵庫県,2043,3848,5799,7288,8810,10602,12343,14119,15804,17559,19395,
窃盗犯総数,奈良県,342,671,1079,1398,1701,2005,2288,2607,2914,3216,3553,
窃盗犯総数,和歌山県,187,360,610,805,979,1166,1350,1538,1715,1972,2289,
窃盗犯総数,鳥取県,94,196,306,404,506,579,667,784,882,1012,1159,
窃盗犯総数,島根県,106,244,341,482,597,695,776,852,979,1076,1212,
窃盗犯総数,岡山県,553,1009,1517,1939,2304,2695,3155,3566,4024,4492,4919,
窃盗犯総数,広島県,687,1304,2073,2654,3174,3807,4339,4966,5595,6276,6953,
窃盗犯総数,山口県,247,500,806,1023,1242,1454,1692,1904,2134,2352,2576,
窃盗犯総数,徳島県,186,332,455,598,721,892,1007,1161,1328,1498,1615,
窃盗犯総数,香川県,273,546,822,1042,1252,1550,1782,2019,2261,2526,2764,
窃盗犯総数,愛媛県,344,693,1101,1474,1798,2161,2509,2873,3285,3660,4047,
窃盗犯総数,高知県,154,307,472,603,745,886,1015,1196,1374,1575,1732,
窃盗犯総数,福岡県,1751,3403,5015,6450,7702,9130,10485,11907,13326,15011,16505,
窃盗犯総数,佐賀県,181,419,612,781,933,1118,1296,1485,1645,1822,1970,
窃盗犯総数,長崎県,163,306,496,653,779,908,1052,1172,1338,1495,1620,
窃盗犯総数,熊本県,346,601,921,1224,1440,1707,1960,2284,2538,2851,3137,
窃盗犯総数,大分県,169,308,472,646,781,920,1055,1211,1393,1576,1741,
窃盗犯総数,宮崎県,279,529,798,1010,1191,1378,1579,1782,1965,2178,2405,
窃盗犯総数,鹿児島県,333,636,941,1202,1443,1705,1951,2259,2595,2928,3213,
窃盗犯総数,沖縄県,315,606,955,1231,1513,1833,2151,2462,2764,3120,3442,
,,,,,,,,,,,,,
罪名,都道府県,1,2,3,4,5,6,7,8,9,10,11,12
重要犯罪総数,全国,717,1415,2256,2813,3412,4198,5081,5868,6661,7487,8236,
重要犯罪総数,北海道,26,48,81,106,124,148,183,199,229,262,276,
重要犯罪総数,青森県,2,5,9,13,19,21,25,27,31,39,53,
重要犯罪総数,岩手県,3,6,11,16,18,24,32,37,39,47,48,
重要犯罪総数,宮城県,11,18,30,39,50,57,74,87,109,120,127,
重要犯罪総数,秋田県,1,4,6,6,6,9,12,13,15,15,19,
重要犯罪総数,山形県,2,9,16,16,20,27,30,40,47,52,57,
