,2019,,,,,,,,,,,,
罪名,都道府県,1,2,3,4,5,6,7,8,9,10,11,12
刑法犯総数,全国,57640,112813,172747,234874,302264,363846,431262,495448,561302,626891,688375,748559
刑法犯総数,北海道,1470,2912,4532,6419,8908,11016,13425,15766,18229,20431,22125,23607
刑法犯総数,青森県,230,470,747,1040,1310,1661,1967,2269,2642,2986,3243,3488
刑法犯総数,岩手県,219,424,658,893,1180,1436,1741,2011,2319,2571,2844,3063
刑法犯総数,宮城県,1017,1947,3075,4071,5157,6223,7414,8499,9569,10693,11852,12979
刑法犯総数,秋田県,127,260,410,574,770,996,1204,1371,1574,1849,2030,2162
刑法犯総数,山形県,218,432,658,924,1218,1484,1779,2105,2459,2762,3024,3275
刑法犯総数,福島県,667,1297,2015,2785,3631,4345,5133,6053,7054,7831,8622,9416
刑法犯総数,東京都,8087,15936,24268,32815,41765,50316,59883,68795,77675,86931,95257,104664
刑法犯総数,茨城県,1486,3074,4987,6821,8546,10064,11689,13452,15103,16737,18600,20312
刑法犯総数,栃木県,888,1829,2776,3729,4697,5546,6485,7366,8299,9176,10173,11155
刑法犯総数,群馬県,939,1894,2786,3757,4855,5781,6739,7680,8628,9619,10692,11699
刑法犯総数,埼玉県,4403,8549,13047,17341,22356,27124,31977,36597,41304,46177,50817,55497
刑法犯総数,千葉県,3296,6357,9578,13267,16968,20349,24220,27821,31411,34857,38379,41793
刑法犯総数,神奈川県,3017,6010,9379,12820,16577,19978,23780,27460,31153,34709,38274,41780
刑法犯総数,新潟県,709,1520,2386,3281,4217,5130,6173,7094,8081,9078,9928,10743
刑法犯総数,山梨県,302,592,890,1249,1584,1913,2291,2691,3122,3420,3689,3985
刑法犯総数,長野県,571,1135,2001,2664,3430,4197,4874,5521,6450,7212,7916,8504
刑法犯総数,静岡県,1418,2752,4179,5667,7298,8700,10272,11827,13380,14828,16365,17876
刑法犯総数,富山県,280,594,956,1335,1786,2209,2600,2969,3339,3788,4169,4508
刑法犯総数,石川県,258,546,868,1230,1641,2121,2610,2981,3369,3788,4146,4508
刑法犯総数,福井県,229,435,688,977,1249,1519,1801,2078,2346,2627,2878,3132
刑法犯総数,岐阜県,1036,1943,3024,4048,5199,6221,7433,8506,9700,10739,11756,12857
刑法犯総数,愛知県,4039,7909,11806,16103,20684,24555,29163,33460,37902,42014,45938,49956
刑法犯総数,三重県,809,1538,2419,3236,4226,5002,5859,6738,7675,8630,9480,10322
刑法犯総数,滋賀県,513,1009,1559,2156,2720,3262,3862,4454,5055,5674,6190,6771
刑法犯総数,京都府,1286,2414,3716,4982,6334,7624,8922,10115,11536,12889,14049,15136
刑法犯総数,大阪府,6857,13019,19572,26459,34285,41319,49271,56684,64241,71638,78492,84672
刑法犯総数,兵庫県,3130,6283,9485,12879,16498,19743,23351,26754,30205,33792,37137,40395
刑法犯総数,奈良県,509,962,1514,2128,2750,3331,3905,4406,4947,5532,6098,6616
刑法犯総数,和歌山県,373,711,1056,1437,1813,2160,2537,2940,3339,3715,4013,4363
刑法犯総数,鳥取県,135,260,442,609,797,999,1170,1343,1527,1709,1915,2029
刑法犯総数,島根県,144,377,596,789,989,1200,1403,1598,1783,1984,2151,2310
刑法犯総数,岡山県,647,1296,2051,2878,3745,4512,5314,6088,6955,7786,8670,9436
刑法犯総数,広島県,1060,2042,3099,4360,5699,6917,8242,9494,10696,12013,13130,14160
